"timestamp","lfi_id","lfi_name","tpp_id","tpp_name","tpp_client_id","api_set_sub","http_method","url","tpp_response_code_group","execution_time","interaction_id","resource_name","lfi_response_code_group","is_attended","records","payment_type","payment_id","merchant_id","psu_id","is_large_corporate","user_type","purpose","status","currency","amount","payment_consent_type","transaction_id","number_of_successful_transactions","international_payment","chargeable","lfiChargable","success","group","type","discountType","api_category","discounted","api_hub_fee","applicableApiHubFee","apiHubVolume","calculatedFee","applicableFee","unit_price","volume","appliedLimit","limitApplied","isCapped","cappedAt","numberOfPages","duplicate","category"
"2025-11-17T14:00:27.028Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",4195,"e82dc0d4-6ab4-4f22-ad90-b13704b25f75","cbuae-service-initiation","201",true,,"Collection","411P21D0082880FB",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",2.6,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.008,0.008,0.0038,2,0,false,false,0,0,false,"Merchant Collection"
"2025-11-17T16:00:29.686Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",4486,"d1bafc33-df5b-464a-a070-03c3a0ffc1df","cbuae-service-initiation","201",true,,"Collection","411PCB4B15C7821A",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.68,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-17T18:00:28.006Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",9466,"48762fec-2551-4219-b9eb-78aa2c1e75d0","cbuae-service-initiation","201",true,,"Collection","411P74959B8FACFC",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",1.83,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.004,0.004,0.0038,1,0,false,false,0,0,false,"Merchant Collection"
"2025-11-17T19:53:21.746Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",5281,"1d17dd51-1968-4a56-bc32-9a053791e811","cbuae-service-initiation","201",true,,"Collection","411PAA752F9343D5",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.94,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-17T20:00:29.676Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",3255,"5a5fa47d-aa1e-4c2c-a1e4-cf21c8f11b7f","cbuae-service-initiation","201",true,,"Collection","411PC88AD2F405ED",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",2.6,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.008,0.008,0.0038,2,0,false,false,0,0,false,"Merchant Collection"
"2025-11-17T22:00:30.347Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",11669,"6cf33b0b-bbed-4930-ab85-7adaf027b2e5","cbuae-service-initiation","201",true,,"Collection","411PBD2AB365700C",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",2.07,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.008,0.008,0.0038,2,0,false,false,0,0,false,"Merchant Collection"
"2025-11-18T00:00:28.479Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",9450,"bbdfd964-5733-4c7d-bcae-c2f657c596d2","cbuae-service-initiation","201",true,,"Collection","411P860EE7C63775",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.33,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-18T02:00:27.462Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",6927,"05fef6fd-c3d5-4ebf-82a6-80ce5fc1bf46","cbuae-service-initiation","201",true,,"Collection","411P88500F00ACE0",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.46,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-18T04:00:30.830Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",6931,"67fbc7a5-26b8-45b5-be17-ba03f8295d38","cbuae-service-initiation","201",true,,"Collection","411P02B6C818BBA0",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",1.03,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.004,0.004,0.0038,1,0,false,false,0,0,false,"Merchant Collection"
"2025-11-18T06:02:30.199Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",2905,"4efbfed3-0dda-44ba-bffd-c6f6621553ed","cbuae-service-initiation","201",true,,"Collection","411PD808C9DD2EA0",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",1.05,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.004,0.004,0.0038,1,0,false,false,0,0,false,"Merchant Collection"
"2025-11-18T06:02:33.718Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","AISP","GET","open-finance/account-information/v1.2/accounts/:accountId/transactions","2xx",1416,"4a9bd165-04e7-4a0c-b5c1-87d3f3ab3a45","transactions","200",true,0,,,,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,"Retail","AccountAggregation",,,,,,,false,true,true,true,"data","NA",,"Bank Data Sharing",false,0.025,0,0,0,0,2.81,0,0,false,false,0,0,false,"Customer Data"
"2025-11-18T06:02:33.727Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","AISP","GET","open-finance/account-information/v1.2/accounts/:accountId/transactions","2xx",1163,"e523f3fa-3344-4983-920a-4fd902dfff6f","transactions","200",true,398,,,,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,"Retail","AccountAggregation",,,,,,,false,true,true,true,"data","NA",,"Bank Data Sharing",false,0.025,0.1,4,0,0,2.81,0,4,true,false,0,4,false,"Customer Data"
"2025-11-18T06:02:33.747Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","AISP","GET","open-finance/account-information/v1.2/accounts/:accountId/transactions","2xx",693,"50cf5716-569d-4226-bc03-a8002e407177","transactions","200",true,0,,,,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,"Retail","AccountAggregation",,,,,,,false,true,true,true,"data","NA",,"Bank Data Sharing",false,0.025,0,0,0,0,2.81,0,0,false,false,0,0,false,"Customer Data"
"2025-11-18T06:03:03.994Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","AISP","GET","open-finance/account-information/v1.2/accounts/:accountId/transactions","2xx",932,"43148e5d-3568-47b9-ae37-8833ce93232d","transactions","200",true,398,,,,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,"Retail","AccountAggregation",,,,,,,false,true,true,true,"data","NA",,"Bank Data Sharing",false,0.025,0.1,4,0,0,2.81,0,4,true,false,0,4,false,"Customer Data"
"2025-11-18T06:03:44.215Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","AISP","GET","open-finance/account-information/v1.2/accounts/:accountId/transactions","2xx",795,"2f523e1f-09a3-4c7d-bdfa-1b29778cf26e","transactions","200",true,398,,,,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,"Retail","AccountAggregation",,,,,,,false,true,true,true,"data","NA",,"Bank Data Sharing",false,0.025,0.1,4,0,0,2.81,0,4,true,false,0,4,false,"Customer Data"
